"","SOURCE_TRACTID","NEIGHBOR_TRACTID"
"510","39009973902","39045031200"
"511","39011040100","39035105500"
"512","39011040100","39035109701"
"513","39011040100","39049007010"
"514","39011040100","39081001300"
"515","39011040100","39081001400"
"516","39011040100","39151711312"
"517","39011040100","39151711501"
"518","39011040200","39081001300"
"519","39011040200","39081001700"
"520","39011040200","39081011000"
"521","39011040200","39081011200"
"522","39011040200","39081011402"
"523","39011040200","39151711501"
"524","39011040200","39153506500"
"525","39011040200","39153506700"
"526","39011040300","39081001300"
"527","39011040300","39081001400"
"528","39011040300","39081011000"
"529","39011040400","39081001300"
"530","39011040400","39081001400"
"531","39011040400","39081001700"
"532","39011040400","39081011402"
"533","39011040500","39081001300"
"534","39011040500","39081001400"
"535","39011040500","39081011000"
"536","39011040500","39081011500"
"537","39011040500","39085205702"
"538","39011040500","39085205800"
"539","39011040500","39095001800"
"540","39011040500","39095002800"
"541","39011040500","39113020900"
"542","39011040500","39149971800"
"543","39011040500","39153506700"
"544","39011040500","39153520202"
"545","39011040600","39035119100"
"546","39011040600","39081001300"
"547","39011040600","39081011100"
"548","39011040600","39081011402"
"549","39011040600","39085205702"
"550","39011040600","39085205800"
"551","39011040600","39113020602"
"552","39011040600","39113020700"
"553","39011040900","39035119100"
"554","39011040900","39081011401"
"555","39011040900","39081011500"
"556","39011040900","39113020700"
"557","39011041000","39035116800"
"558","39011041000","39035119100"
"559","39011041000","39081011100"
"560","39011041000","39113020700"
"561","39011041100","39035105500"
"562","39011041100","39035117800"
"563","39011041100","39035119100"
"564","39011041100","39081001400"
"565","39011041100","39081001700"
"566","39011041100","39081011000"
"567","39011041100","39081011200"
"568","39011041100","39081011402"
"569","39011041100","39081011500"
"570","39011041201","39081011402"
"571","39011041201","39081011500"
"572","39011041201","39085205800"
"573","39011041201","39113003800"
"574","39011041201","39113020602"
"575","39011041202","39081011402"
"576","39011041202","39081011500"
"577","39011041202","39085205702"
"578","39013010100","39003011800"
"579","39013010100","39003011900"
"580","39013010100","39003013600"
"581","39013010100","39003013700"
"582","39013010100","39003013900"
"583","39013010100","39035176100"
"584","39013010100","39035178201"
"585","39013010100","39035185202"
"586","39013010200","39003011900"
"587","39013010200","39003013400"
"588","39013010200","39003014000"
"589","39013010200","39005970500"
"590","39013010300","39003011800"
"591","39013010300","39003012000"
"592","39013010300","39003013400"
"593","39013010300","39005970400"
"594","39013010300","39005970500"
"595","39013010300","39035178201"
"596","39013010600","39003011900"
"597","39013010600","39003013100"
"598","39013010600","39005970300"
"599","39013010600","39005970400"
"600","39013010600","39049003200"
"601","39013010600","39117965100"
"602","39013010600","39117965300"
"603","39013010700","39003012000"
"604","39013010700","39003012100"
"605","39013010700","39003012200"
"606","39013010700","39005970300"
"607","39013010700","39049003200"
"608","39013010802","39003012200"
"609","39013010802","39003013100"
"610","39013010802","39003013200"
"611","39013010802","39005970300"
"612","39013010900","39003012100"
"613","39013010900","39003013100"
"614","39013010900","39003013200"
"615","39013010900","39005970600"
"616","39013010900","39049003200"
"617","39013011000","39003012200"
"618","39013011000","39003013200"
"619","39013011000","39049001820"
"620","39013011000","39049003200"
"621","39013011000","39113110201"
"622","39013011000","39113110202"
"623","39013011200","39003012100"
"624","39013011200","39003012200"
"625","39013011200","39003013300"
"626","39013011200","39003014000"
"627","39013011200","39005970300"
"628","39013011200","39005970600"
"629","39013011300","39003013200"
"630","39013011300","39003014000"
"631","39013011400","39003011800"
"632","39013011400","39003013200"
"633","39013011400","39003013300"
"634","39013011400","39003014100"
"635","39013011400","39005970100"
"636","39013011400","39005970200"
"637","39013011400","39005970300"
"638","39013011400","39005970500"
"639","39013011500","39003014000"
"640","39013011500","39005970100"
"641","39013011600","39003014000"
"642","39013011600","39003014100"
"643","39013011600","39005970200"
"644","39013011700","39003014000"
"645","39013011700","39005970100"
"646","39013011900","39003013400"
"647","39013011900","39003013700"
"648","39013011900","39003013900"
"649","39013012000","39003013400"
"650","39013012000","39003013600"
"651","39013012000","39003013900"
"652","39013012100","39003013400"
"653","39013012100","39003013600"
"654","39013012100","39003013700"
"655","39013012200","39003012000"
"656","39013012200","39003012100"
"657","39013012200","39003013100"
"658","39013012200","39003013200"
"659","39013012200","39003014000"
"660","39013012200","39005970400"
"661","39013012200","39005970500"
"662","39013012300","39003011900"
"663","39013012300","39003012000"
"664","39013012300","39005970300"
"665","39013012300","39005970500"
"666","39013012400","39003011800"
"667","39013012400","39003011900"
"668","39013012400","39003014000"
"669","39013012400","39005970300"
"670","39013012400","39005970400"
"671","39015951201","39049009900"
"672","39015951201","39059977600"
"673","39015951201","39059977700"
"674","39015951201","39113021502"
"675","39015951201","39113021602"
"676","39015951201","39119912200"
"677","39015951202","39049009712"
"678","39015951202","39049009900"
"679","39015951202","39059977600"
"680","39015951202","39119911700"
"681","39015951202","39119912300"
"682","39015951300","39049009712"
"683","39015951300","39055310600"
"684","39015951300","39059977600"
"685","39015951300","39119911800"
"686","39015951300","39119911900"
"687","39015951300","39119912200"
"688","39015951400","39059977600"
"689","39015951400","39119911500"
"690","39015951400","39119911700"
"691","39015951400","39119911800"
"692","39015951400","39119912100"
