"","SOURCE_TRACTID","39175938500","NEIGHBOR_TRACTID"
"514","39011040500",0,"39081001200"
"515","39011040500",0,"39081001400"
"516","39011040500",0,"39081011300"
"517","39011040500",0,"39085205200"
"518","39011040500",0,"39085205300"
"519","39011040500",0,"39095001302"
"520","39011040500",0,"39095002300"
"521","39011040500",0,"39113020800"
"522","39011040500",0,"39149971600"
"523","39011040500",0,"39153506500"
"524","39011040500",0,"39153520105"
"525","39011040600",0,"39035119202"
"526","39011040600",0,"39081000800"
"527","39011040600",0,"39081001700"
"528","39011040600",0,"39081011200"
"529","39011040600",0,"39085205200"
"530","39011040600",0,"39085205300"
"531","39011040600",0,"39113020601"
"532","39011040600",0,"39113020602"
"533","39011040900",0,"39035119202"
"534","39011040900",0,"39081011100"
"535","39011040900",0,"39081011300"
"536","39011040900",0,"39113020602"
"537","39011041000",0,"39035116900"
"538","39011041000",0,"39035119202"
"539","39011041000",0,"39081001700"
"540","39011041000",0,"39113020602"
"541","39011041100",0,"39035105100"
"542","39011041100",0,"39035117900"
"543","39011041100",0,"39035119202"
"544","39011041100",0,"39081001200"
"545","39011041100",0,"39081001300"
"546","39011041100",0,"39081001400"
"547","39011041100",0,"39081011000"
"548","39011041100",0,"39081011200"
"549","39011041100",0,"39081011300"
"550","39011041201",0,"39081011200"
"551","39011041201",0,"39081011300"
"552","39011041201",0,"39085205300"
"553","39011041201",0,"39113003300"
"554","39011041201",0,"39113020601"
"555","39011041202",0,"39081011200"
"556","39011041202",0,"39081011300"
"557","39011041202",0,"39085205200"
"558","39013010100",0,"39003011400"
"559","39013010100",0,"39003011500"
"560","39013010100",0,"39003013200"
"561","39013010100",0,"39003013300"
"562","39013010100",0,"39003013400"
"563","39013010100",0,"39035175106"
"564","39013010100",0,"39035177609"
"565","39013010100",0,"39035185102"
"566","39013010200",0,"39003011500"
"567","39013010200",0,"39003013100"
"568","39013010200",0,"39003013600"
"569","39013010200",0,"39005970200"
"570","39013010300",0,"39003011400"
"571","39013010300",0,"39003011600"
"572","39013010300",0,"39003013100"
"573","39013010300",0,"39005970100"
"574","39013010300",0,"39005970200"
"575","39013010300",0,"39035177609"
"576","39013010600",0,"39003011500"
"577","39013010600",0,"39003012700"
"578","39013010600",0,"39003014100"
"579","39013010600",0,"39005970100"
"580","39013010600",0,"39049003000"
"581","39013010600",0,"39117965000"
"582","39013010600",0,"39117965200"
"583","39013010700",0,"39003011600"
"584","39013010700",0,"39003011800"
"585","39013010700",0,"39003011900"
"586","39013010700",0,"39003014100"
"587","39013010700",0,"39049003000"
"588","39013010802",0,"39003011900"
"589","39013010802",0,"39003012700"
"590","39013010802",0,"39003012900"
"591","39013010802",0,"39003014100"
"592","39013010900",0,"39003011800"
"593","39013010900",0,"39003012700"
"594","39013010900",0,"39003012900"
"595","39013010900",0,"39005970300"
"596","39013010900",0,"39049003000"
"597","39013011000",0,"39003011900"
"598","39013011000",0,"39003012900"
"599","39013011000",0,"39049001810"
"600","39013011000",0,"39049003000"
"601","39013011000",0,"39113100400"
"602","39013011000",0,"39113110201"
"603","39013011200",0,"39003011800"
"604","39013011200",0,"39003011900"
"605","39013011200",0,"39003013000"
"606","39013011200",0,"39003013600"
"607","39013011200",0,"39003014100"
"608","39013011200",0,"39005970300"
"609","39013011300",0,"39003012900"
"610","39013011300",0,"39003013600"
"611","39013011400",0,"39003011400"
"612","39013011400",0,"39003012900"
"613","39013011400",0,"39003013000"
"614","39013011400",0,"39003013700"
"615","39013011400",0,"39003013900"
"616","39013011400",0,"39003014000"
"617","39013011400",0,"39003014100"
"618","39013011400",0,"39005970200"
"619","39013011500",0,"39003013600"
"620","39013011500",0,"39003013900"
"621","39013011600",0,"39003013600"
"622","39013011600",0,"39003013700"
"623","39013011600",0,"39003014000"
"624","39013011700",0,"39003013600"
"625","39013011700",0,"39003013900"
"626","39013011900",0,"39003013100"
"627","39013011900",0,"39003013300"
"628","39013011900",0,"39003013400"
"629","39013012000",0,"39003013100"
"630","39013012000",0,"39003013200"
"631","39013012000",0,"39003013400"
"632","39013012100",0,"39003013100"
"633","39013012100",0,"39003013200"
"634","39013012100",0,"39003013300"
"635","39013012200",0,"39003011600"
"636","39013012200",0,"39003011800"
"637","39013012200",0,"39003012700"
"638","39013012200",0,"39003012900"
"639","39013012200",0,"39003013600"
"640","39013012200",0,"39005970100"
"641","39013012200",0,"39005970200"
"642","39013012300",0,"39003011500"
"643","39013012300",0,"39003011600"
"644","39013012300",0,"39003014100"
"645","39013012300",0,"39005970200"
"646","39013012400",0,"39003011400"
"647","39013012400",0,"39003011500"
"648","39013012400",0,"39003013600"
"649","39013012400",0,"39003014100"
"650","39013012400",0,"39005970100"
"651","39015951201",0,"39049009752"
"652","39015951201",0,"39059977400"
"653","39015951201",0,"39059977500"
"654","39015951201",0,"39113021501"
"655","39015951201",0,"39113021601"
"656","39015951201",0,"39119912100"
"657","39015951202",0,"39049009590"
"658","39015951202",0,"39049009752"
"659","39015951202",0,"39059977400"
"660","39015951202",0,"39119911600"
"661","39015951202",0,"39119912200"
"662","39015951300",0,"39049009590"
"663","39015951300",0,"39053954000"
"664","39015951300",0,"39059977400"
"665","39015951300",0,"39119911700"
"666","39015951300",0,"39119911800"
"667","39015951300",0,"39119912100"
"668","39015951400",0,"39059977400"
"669","39015951400",0,"39119911400"
"670","39015951400",0,"39119911600"
"671","39015951400",0,"39119911700"
"672","39015951400",0,"39119912000"
"673","39015951500",0,"39057200103"
"674","39015951500",0,"39059977400"
"675","39015951500",0,"39093023300"
"676","39015951500",0,"39093023400"
"677","39015951500",0,"39119911500"
"678","39015951500",0,"39119911800"
"679","39015951500",0,"39119911900"
"680","39015951600",0,"39093023400"
"681","39015951600",0,"39093023700"
"682","39015951600",0,"39119911400"
"683","39015951600",0,"39119911900"
"684","39015951700",0,"39119911400"
"685","39015951700",0,"39119911500"
"686","39015951700",0,"39119912000"
"687","39015951800",0,"39119911700"
"688","39015951800",0,"39119911800"
"689","39015951800",0,"39119911900"
"690","39015951900",0,"39049009751"
"691","39015951900",0,"39053954000"
"692","39015951900",0,"39119911600"
"693","39015951900",0,"39119911800"
"694","39015951900",0,"39119912000"
"695","39017000100",0,"39035178204"
"696","39017000100",0,"39035178206"
"697","39017000100",0,"39035185203"
"698","39017000100",0,"39035186103"
"699","39017000100",0,"39035189111"
"700","39017000200",0,"39035178201"
"701","39017000200",0,"39035178206"
"702","39017000200",0,"39035189108"
"703","39017000200",0,"39035189110"
"704","39017000200",0,"39035189111"
"705","39017000200",0,"39035194900"
"706","39017000300",0,"39035140400"
"707","39017000300",0,"39035178204"
"708","39017000300",0,"39035189111"
"709","39017000300",0,"39035194300"
"710","39017000300",0,"39035194800"
"711","39017000300",0,"39035194900"
"712","39017000400",0,"39035127501"
"713","39017000400",0,"39035140400"
"714","39017000400",0,"39035178201"
"715","39017000400",0,"39035178204"
"716","39017000400",0,"39035186103"
"717","39017000400",0,"39035188105"
"718","39017000400",0,"39035189105"
"719","39017000400",0,"39035189110"
"720","39017000500",0,"39035127501"
"721","39017000500",0,"39035189105"
"722","39017000500",0,"39035189109"
"723","39017000500",0,"39035189111"
"724","39017000600",0,"39035140400"
"725","39017000600",0,"39035188105"
"726","39017000600",0,"39035189109"
"727","39017000600",0,"39035189111"
"728","39017001001",0,"39035140400"
"729","39017001001",0,"39035189107"
"730","39017001001",0,"39035193800"
"731","39017001001",0,"39035194100"
"732","39017001001",0,"39035195600"
"733","39017001002",0,"39035189107"
"734","39017001002",0,"39035193800"
"735","39017001002",0,"39035193900"
"736","39017001002",0,"39035194300"
"737","39017001002",0,"39035194500"
"738","39017001002",0,"39035195800"
"739","39017001100",0,"39035140400"
"740","39017001100",0,"39035189110"
"741","39017001100",0,"39035193800"
"742","39017001100",0,"39035194100"
"743","39017001100",0,"39035194500"
"744","39017001100",0,"39035194800"
"745","39017001300",0,"39035189110"
"746","39017001300",0,"39035194300"
"747","39017001300",0,"39035194500"
"748","39017001300",0,"39035194900"
"749","39017001300",0,"39035195800"
"750","39017010101",0,"39035122100"
"751","39017010101",0,"39035122200"
"752","39017010101",0,"39035122300"
"753","39017010101",0,"39035123100"
"754","39017010101",0,"39035123200"
"755","39017010102",0,"39035121900"
"756","39017010102",0,"39035122200"
"757","39017010102",0,"39035123100"
"758","39017010103",0,"39035121900"
"759","39017010103",0,"39035122100"
"760","39017010103",0,"39035122300"
"761","39017010103",0,"39035123100"
"762","39017010103",0,"39035123200"
"763","39017010104",0,"39035121900"
"764","39017010104",0,"39035122200"
"765","39017010104",0,"39035122300"
"766","39017010201",0,"39035121900"
"767","39017010201",0,"39035122200"
"768","39017010201",0,"39035123100"
"769","39017010201",0,"39035123200"
"770","39017010202",0,"39017011200"
"771","39017010202",0,"39035121800"
"772","39017010202",0,"39035121900"
"773","39017010202",0,"39035122100"
"774","39017010202",0,"39035122200"
