"Geography","fips_county","fips_tract","Population","White","Black","Asian","NHPI","AIAN","Two or More Races","Other","district"
"39019720500","019","720500",5397,5305,14,17,0,2,52,7,3
"39019720600","019","720600",3451,3390,9,7,0,9,33,3,3
"39019720700","019","720700",3253,3208,3,3,0,6,32,1,3
"39021010100","021","010100",1809,1740,22,8,0,8,28,3,9
"39021010200","021","010200",7260,7079,20,16,6,18,104,17,9
"39021010400","021","010400",4150,3843,116,3,1,20,119,48,9
"39021010500","021","010500",4070,3775,125,29,0,7,120,14,9
"39021010600","021","010600",4130,3514,385,50,0,25,128,28,9
"39021011001","021","011001",2702,2650,16,8,0,5,13,10,9
"39021011501","021","011501",4473,4353,36,6,1,18,50,9,9
"39021011504","021","011504",5194,4945,123,19,3,15,78,11,9
"39021011505","021","011505",3313,3190,34,2,2,15,65,5,9
"39021011506","021","011506",2996,2897,15,12,0,12,57,3,9
"39023000200","023","000200",1559,462,873,5,0,8,114,97,9
"39023000300","023","000300",1635,1099,397,2,0,27,90,20,9
"39023000400","023","000400",2229,1802,260,2,0,15,81,69,9
"39023000500","023","000500",1880,1660,103,1,0,11,67,38,9
"39023000600","023","000600",2768,1995,535,2,0,10,183,43,9
"39023000700","023","000700",2577,2207,205,34,1,3,92,35,9
"39023000901","023","000901",2475,1711,559,2,0,7,142,54,9
"39023000902","023","000902",1244,350,802,8,0,5,57,22,9
"39023001000","023","001000",1501,1017,400,5,0,4,66,9,9
"39023001101","023","001101",1452,408,843,6,0,5,112,78,9
"39023001102","023","001102",2841,927,1711,13,2,9,163,16,9
"39023001200","023","001200",4245,2165,1663,8,0,17,277,115,9
"39023001300","023","001300",4124,3595,308,12,3,15,138,53,9
"39023001400","023","001400",3566,3056,352,16,1,12,96,33,9
"39023001500","023","001500",4353,4018,177,3,2,10,110,33,9
"39023001600","023","001600",3885,3723,81,10,2,6,52,11,9
"39023001700","023","001700",2665,2259,233,30,0,9,107,27,9
"39023001900","023","001900",2865,2617,128,31,1,3,60,25,9
"39023002000","023","002000",2205,2127,22,23,0,6,18,9,9
"39023002100","023","002100",1749,1538,138,2,1,5,42,23,9
"39023002200","023","002200",4358,4166,122,12,1,8,41,8,9
"39023002301","023","002301",3238,3148,13,8,2,9,56,2,9
"39023002403","023","002403",3998,3510,283,55,5,6,122,17,9
"39023002404","023","002404",3112,2635,296,93,0,5,72,11,9
"39023002501","023","002501",2078,1963,51,27,1,1,27,8,9
"39023002502","023","002502",3174,3020,65,25,5,3,52,4,9
"39023002601","023","002601",3818,3714,14,20,0,2,59,9,9
"39023002602","023","002602",4067,3946,36,31,5,4,42,3,9
"39023002605","023","002605",3858,3659,93,24,1,5,64,12,9
"39023002606","023","002606",7726,7328,218,47,1,6,90,36,9
"39023002701","023","002701",3173,2945,12,12,0,5,41,158,9
"39023002702","023","002702",2681,2329,2,12,0,3,37,298,9
"39023002800","023","002800",4649,4452,41,10,3,7,49,87,9
"39023002901","023","002901",3743,3530,29,11,3,14,85,71,9
"39023002902","023","002902",4477,4106,30,16,1,16,76,232,9
"39023003001","023","003001",3145,3005,35,34,0,7,43,21,9
"39023003002","023","003002",3574,3455,34,5,0,13,53,14,9
"39023003101","023","003101",2517,2400,18,33,0,5,55,6,9
"39023003102","023","003102",1878,1821,5,18,0,5,23,6,9
"39023003200","023","003200",2798,2646,85,7,2,11,43,4,9
"39023003301","023","003301",3577,3454,34,12,0,11,19,47,9
"39023003302","023","003302",2543,2487,11,3,0,1,34,7,9
"39023003400","023","003400",3700,3002,434,11,7,11,145,90,9
"39023003700","023","003700",4633,3983,377,117,1,6,114,35,9
"39025040101","025","040101",5176,5068,40,10,0,14,38,6,13
"39025040102","025","040102",2689,2632,16,5,0,5,31,0,13
"39025040202","025","040202",2177,2137,8,5,0,1,26,0,13
"39025040203","025","040203",6195,6042,30,28,1,9,67,18,10
"39025040204","025","040204",7181,6875,100,35,2,23,123,23,13
"39025040301","025","040301",3839,3716,37,45,0,7,22,12,10
"39025040302","025","040302",3459,3301,31,71,7,5,33,11,10
"39025040303","025","040303",7207,6858,58,177,4,4,91,15,10
"39025040401","025","040401",3595,3413,74,21,1,6,68,12,10
"39025040403","025","040403",2719,2515,86,23,2,6,62,25,10
"39025040404","025","040404",3758,3616,29,50,0,11,43,9,10
"39025040405","025","040405",2582,2447,30,42,1,0,52,10,10
"39025040500","025","040500",5109,4808,132,39,1,12,81,36,13
"39025040600","025","040600",6817,6564,90,77,0,7,57,22,13
"39025040701","025","040701",6313,5917,144,111,0,3,99,39,10
"39025040702","025","040702",4019,3851,40,38,0,12,65,13,13
"39025040800","025","040800",5890,5775,9,9,1,7,77,12,13
"39025040900","025","040900",5746,5636,20,10,4,9,53,14,13
"39025041000","025","041000",7507,7240,83,68,0,21,83,12,13
"39025041101","025","041101",2782,2635,58,23,0,13,48,5,13
"39025041102","025","041102",4656,4288,136,28,2,11,177,14,13
"39025041103","025","041103",8335,8004,103,66,2,27,111,22,13
"39025041200","025","041200",8350,8007,75,130,3,16,98,21,13
"39025041303","025","041303",5028,4767,62,89,0,11,73,26,13
"39025041304","025","041304",37,37,0,0,0,0,0,0,13
"39025041305","025","041305",4466,4173,100,84,0,4,77,28,13
"39025041306","025","041306",4286,3941,88,135,2,19,63,38,13
"39025041307","025","041307",4840,4635,72,37,1,8,60,27,13
"39025041403","025","041403",4342,4076,57,43,0,11,84,71,13
"39025041404","025","041404",4742,4399,103,86,0,14,90,50,13
"39025041405","025","041405",5472,5186,65,70,0,13,90,48,13
"39025041406","025","041406",4857,4658,31,93,2,9,44,20,13
"39025041501","025","041501",6269,6074,40,45,6,7,63,34,13
"39025041502","025","041502",8080,7745,95,71,2,20,109,38,13
"39025041600","025","041600",5192,5005,55,20,5,15,62,30,13
"39025041701","025","041701",4522,4414,19,6,0,13,58,12,13
"39025041702","025","041702",3306,3244,15,5,0,6,31,5,13
"39025041800","025","041800",3692,3605,15,8,10,3,47,4,13
"39025041900","025","041900",5665,5604,11,8,1,11,29,1,13
"39025042000","025","042000",6466,6342,27,9,1,10,68,9,13
"39027964300","027","964300",3712,3608,32,8,0,9,49,6,13
"39027964400","027","964400",5087,4981,11,17,0,22,42,14,10
"39027964500","027","964500",6300,5781,254,67,0,10,148,40,13
"39027964600","027","964600",2976,2594,176,26,0,9,124,47,13
"39027964700","027","964700",5569,4902,370,36,11,13,202,35,13
"39027964800","027","964800",4942,4807,23,24,3,6,55,24,13
"39027964900","027","964900",4984,4874,23,12,2,12,55,6,13
"39027965000","027","965000",4156,4062,17,4,1,4,56,12,13
"39027965100","027","965100",4314,4196,26,19,0,11,47,15,13
"39029950100","029","950100",5712,5581,23,15,0,8,69,16,8
"39029950200","029","950200",4741,4642,24,22,3,4,33,13,8
"39029950300","029","950300",5100,5028,11,11,0,3,35,12,8
"39029950400","029","950400",4443,4381,16,7,3,3,30,3,3
"39029950500","029","950500",6097,5813,42,19,1,5,84,133,2
"39029950600","029","950600",4951,4778,25,15,1,10,49,73,2
"39029950700","029","950700",5488,5341,33,30,1,23,55,5,2
"39029950800","029","950800",4531,4463,8,11,1,2,44,2,3
"39029950900","029","950900",3999,3949,9,3,0,0,34,4,3
"39029951000","029","951000",5894,5816,12,4,1,2,45,14,3
"39029951100","029","951100",4845,4714,64,7,2,7,41,10,3
"39029951200","029","951200",4567,4470,23,5,0,9,55,5,3
"39029951300","029","951300",3991,3864,50,4,0,2,67,4,3
"39029951400","029","951400",7652,6115,1167,43,3,56,122,146,3
"39029951500","029","951500",4654,4582,7,17,0,6,36,6,8
"39029951600","029","951600",5562,5423,23,38,2,18,54,4,3
"39029951700","029","951700",5108,4961,66,5,0,12,62,2,3
"39029951800","029","951800",3279,2925,220,13,1,1,102,17,3
"39029951900","029","951900",3665,3543,47,7,0,2,58,8,3
"39029952000","029","952000",2827,2670,54,11,0,3,82,7,3
"39029952100","029","952100",1521,1403,53,1,0,1,50,13,3
"39029952200","029","952200",2085,1752,251,1,1,8,69,3,3
"39029952300","029","952300",3039,2816,99,8,1,9,95,11,3
"39029952400","029","952400",4090,3929,78,25,6,8,39,5,3
"39031960900","031","960900",4652,4573,14,8,1,10,37,9,4
"39031961000","031","961000",4690,4544,90,6,1,7,37,5,4
"39031961100","031","961100",4373,4266,16,8,0,24,49,10,15
"39031961200","031","961200",3218,3159,6,8,0,6,31,8,15
"39031961300","031","961300",3944,3827,49,6,0,4,44,14,4
"39031961400","031","961400",3348,3151,94,17,0,8,62,16,15
"39031961500","031","961500",2499,2334,63,15,1,7,70,9,4
"39031961600","031","961600",2324,2272,20,10,0,2,19,1,15
"39031961700","031","961700",2863,2774,31,18,0,2,38,0,15
"39031961800","031","961800",4990,4910,12,7,0,11,41,9,4
"39033974100","033","974100",3666,3606,14,4,0,1,35,6,6
