Geography,dist1,dist2,distfrom
39039958500,14,12,-2
39039958600,14,12,-2
39039958700,14,12,-2
39039958800,14,12,-2
39039958900,13,11,-2
39041010100,10,11,1
39041010200,10,10,0
39041010420,10,10,0
39041010421,9,10,1
39041010422,10,10,0
39041010520,9,10,1
39041010530,10,11,1
39041011101,10,9,-1
39041011102,10,9,-1
39041011200,9,9,0
39041011411,8,12,4
39041011412,8,11,3
39041011413,8,10,2
39041011421,10,12,2
39041011423,10,11,1
39041011430,9,12,3
39041011520,11,11,0
39041011530,11,11,0
39041011540,12,11,-1
39041011550,10,10,0
39041011560,11,10,-1
39041011561,11,12,1
39041011604,11,10,-1
39041011710,13,11,-2
39041011730,13,11,-2
39041011740,13,11,-2
39041011750,12,10,-2
39041011760,12,9,-3
39041011762,13,11,-2
39041011900,9,11,2
39041012000,8,9,1
39041012100,9,11,2
39041012200,9,10,1
39041012300,11,9,-2
39041012400,12,12,0
39043040100,18,4,-14
39043040200,17,3,-14
39043040300,16,3,-13
39043040400,16,4,-12
39043040500,17,5,-12
39043040600,17,5,-12
39043040700,18,6,-12
39043040800,17,6,-11
39043040900,16,6,-10
39043041000,16,6,-10
39043041100,17,7,-10
39043041200,18,7,-11
39043041300,17,6,-11
39043041400,17,6,-11
39043041500,17,5,-12
39043041600,16,5,-11
39043041700,15,5,-10
39043041800,15,4,-11
39043990100,17,4,-13
39045030100,11,11,0
39045030200,10,11,1
39045030300,10,12,2
39045030400,9,12,3
39045030600,10,14,4
39045030700,8,14,6
39045030800,8,13,5
39045030900,9,13,4
39045031000,10,12,2
39045031100,10,11,1
39045031200,10,12,2
39045031300,11,13,2
39045031400,10,13,3
39045031500,10,14,4
39045031600,10,14,4
39045031700,11,14,3
39045032000,11,14,3
39045032100,11,14,3
39045032200,11,13,2
39045032300,10,13,3
39045032500,9,13,4
39045032600,8,14,6
39045032701,10,13,3
39045032702,10,12,2
39045032800,11,13,2
39045032900,10,12,2
39045033000,9,13,4
39045033100,10,13,3
39047925800,5,16,11
39047925900,5,16,11
39047926000,6,17,11
39047926100,6,17,11
39047926200,6,17,11
39047926300,7,17,10
39047926400,6,16,10
39049000110,14,16,2
39049000120,14,17,3
39049000210,15,18,3
39049000220,14,17,3
39049000310,15,18,3
39049000320,16,17,1
39049000330,15,18,3
39049000410,14,17,3
39049000420,15,18,3
39049000500,14,18,4
39049000600,13,17,4
39049000710,14,17,3
39049000720,14,16,2
39049000730,14,16,2
39049000810,15,17,2
39049000820,16,16,0
39049000910,15,17,2
39049000920,15,16,1
39049001000,14,17,3
39049001110,13,18,5
39049001121,13,17,4
39049001122,12,17,5
39049001200,14,17,3
39049001300,14,16,2
39049001400,13,15,2
39049001500,13,15,2
39049001600,13,16,3
39049001700,13,17,4
39049001810,13,18,5
39049001820,13,17,4
39049001901,12,18,6
39049001902,13,18,5
39049002000,12,18,6
39049002100,12,17,5
39049002200,12,16,4
39049002300,12,15,3
39049002510,13,14,1
39049002520,13,14,1
39049002600,14,13,-1
39049002710,14,13,-1
39049002730,14,13,-1
39049002740,14,14,0
39049002750,14,14,0
39049002760,13,15,2
39049002770,13,14,1
39049002780,12,15,3
39049002800,13,15,2
39049002900,12,16,4
39049003000,11,16,5
39049003200,11,17,6
39049003600,12,16,4
39049003700,13,15,2
39049003800,12,16,4
39049004000,11,17,6
39049004200,10,17,7
39049004300,11,16,5
39049004500,10,17,7
39049004610,9,17,8
39049004620,10,18,8
39049004700,11,18,7
39049004810,10,18,8
39049004820,10,19,9
39049004900,10,18,8
39049005000,10,17,7
39049005100,9,18,9
39049005200,11,17,6
39049005300,12,16,4
39049005410,12,16,4
39049005420,12,17,5
39049005500,12,17,5
39049005610,11,17,6
39049005620,10,18,8
39049005700,10,18,8
39049005810,9,18,9
39049005820,10,18,8
39049005900,11,17,6
39049006000,10,17,7
39049006100,10,17,7
39049006220,9,13,4
39049006230,8,12,4
39049006236,9,13,4
39049006310,11,15,4
39049006321,12,16,4
39049006323,12,16,4
39049006330,11,15,4
39049006340,11,15,4
39049006351,12,16,4
39049006352,13,17,4
39049006353,12,16,4
39049006371,10,14,4
39049006372,11,15,4
39049006383,10,13,3
39049006384,11,14,3
39049006386,10,14,4
39049006387,11,14,3
39049006391,11,13,2
39049006392,12,14,2
39049006393,11,13,2
39049006394,11,13,2
39049006395,12,16,4
39049006396,11,15,4
39049006410,11,16,5
39049006430,12,16,4
39049006500,11,16,5
39049006600,12,17,5
39049006710,14,15,1
39049006721,13,14,1
39049006722,14,14,0
39049006810,13,16,3
39049006821,13,16,3
39049006822,14,16,2
39049006910,13,15,2
39049006921,14,15,1
39049006923,15,15,0
39049006924,15,16,1
39049006931,15,15,0
39049006932,16,15,-1
39049006933,16,15,-1
39049006942,14,14,0
39049006943,14,14,0
39049006944,14,14,0
39049006945,15,14,-1
39049006950,12,15,3
39049006990,13,13,0
39049007010,13,12,-1
39049007020,14,12,-2
39049007041,12,13,1
39049007043,13,14,1
39049007044,12,13,1
39049007047,14,14,0
39049007048,13,13,0
39049007112,16,14,-2
39049007113,16,14,-2
39049007114,14,13,-1
39049007115,15,14,-1
39049007120,15,13,-2
39049007132,14,12,-2
39049007193,14,12,-2
39049007194,14,12,-2
39049007198,14,12,-2
39049007199,15,13,-2
39049007201,13,10,-3
39049007202,14,12,-2
39049007203,13,10,-3
39049007205,14,11,-3
39049007207,14,11,-3
39049007209,14,11,-3
39049007210,13,10,-3
39049007393,13,11,-2
39049007394,12,11,-1
39049007395,12,11,-1
39049007396,12,11,-1
39049007424,15,13,-2
39049007425,14,13,-1
39049007426,13,12,-1
39049007427,13,12,-1
39049007492,14,12,-2
39049007494,15,13,-2
39049007511,14,15,1
39049007512,14,15,1
39049007520,15,15,0
39049007531,16,15,-1
39049007532,17,15,-2
39049007533,16,15,-1
39049007534,15,15,0
39049007550,14,14,0
39049007551,15,14,-1
39049007710,16,16,0
39049007721,16,16,0
39049007722,16,16,0
39049007730,15,16,1
39049007740,15,17,2
39049007811,13,17,4
39049007812,13,16,3
39049007820,13,17,4
39049007830,13,18,5
39049007921,8,13,5
39049007922,9,13,4
39049007931,9,14,5
39049007933,10,15,5
39049007941,10,15,5
39049007951,10,14,4
39049007952,10,14,4
39049007953,8,14,6
39049007954,9,15,6
39049008000,7,13,6
39049008110,8,15,7
39049008120,8,16,8
39049008132,7,15,8
39049008141,7,14,7
39049008142,8,15,7
39049008161,6,15,9
39049008162,6,14,8
39049008163,8,16,8
39049008164,7,15,8
39049008210,9,16,7
39049008230,8,17,9
39049008241,10,16,6
39049008242,9,16,7
39049008311,8,17,9
39049008312,8,17,9
39049008321,9,18,9
39049008322,9,18,9
39049008330,9,19,10
39049008340,8,18,10
39049008350,7,16,9
39049008360,8,17,9
39049008370,7,17,10
39049008380,8,17,9
39049008400,12,17,5
39049008500,12,17,5
39049008710,12,17,5
39049008720,11,16,5
39049008730,11,16,5
39049008811,10,16,6
39049008812,10,15,5
39049008813,10,16,6
39049008821,9,17,8
39049008822,9,16,7
39049008825,9,16,7
39049008900,13,15,2
39049009000,14,14,0
39049009100,14,14,0
39049009210,13,12,-1
39049009220,14,13,-1
39049009230,14,13,-1
39049009240,14,13,-1
39049009250,13,14,1
39049009311,13,13,0
39049009312,12,13,1
39049009321,13,14,1
39049009322,12,14,2
39049009323,12,15,3
39049009325,11,15,4
39049009326,11,15,4
39049009331,13,14,1
39049009332,12,15,3
39049009333,13,15,2
39049009334,12,15,3
39049009336,11,15,4
39049009337,11,15,4
39049009340,13,14,1
39049009350,13,13,0
39049009361,12,12,0
39049009362,12,12,0
39049009371,11,13,2
39049009372,11,14,3
39049009373,10,14,4
39049009374,10,13,3
39049009381,12,12,0
39049009382,12,13,1
39049009383,12,13,1
39049009384,12,13,1
39049009385,11,12,1
39049009386,11,13,2
39049009390,12,12,0
39049009410,10,14,4
39049009420,10,14,4
39049009430,10,14,4
39049009440,9,15,6
39049009450,9,14,5
39049009495,9,14,5
39049009497,8,14,6
39049009520,9,15,6
39049009590,8,15,7
39049009600,7,17,10
39049009711,8,18,10
39049009712,7,17,10
39049009720,8,17,9
39049009740,7,16,9
39049009751,6,16,10
39049009752,6,16,10
39049009800,5,15,10
39049009900,14,14,0
39049010000,13,11,-2
39049010100,16,14,-2
39049010200,9,13,4
39049010300,8,15,7
39049010400,8,12,4
39049010500,8,12,4
39049010601,8,14,6
39049010602,9,14,5
39049010700,14,16,2
39049980000,14,13,-1
39051040100,16,13,-3
39051040200,17,13,-4
39051040300,16,12,-4
39051040400,16,13,-3
39051040500,15,12,-3
39051040600,15,12,-3
39051040700,16,13,-3
39051040800,15,12,-3
39051040900,15,12,-3
39053953500,12,16,4
39053953600,11,16,5
39053953700,12,17,5
