"Geography","Population","district"
"39035178206",2957,12
"39035179101",3105,9
"39035179102",2874,9
"39035180102",3925,9
"39035180103",3611,9
"39035180104",3010,9
"39035181100",6814,9
"39035181201",5370,12
"39035181203",3089,12
"39035181204",4940,12
"39035182103",2533,12
"39035182104",2626,12
"39035182105",3418,2
"39035182106",3227,2
"39035183100",3008,9
"39035183200",2478,9
"39035183300",4464,9
"39035183401",2162,9
"39035183402",1486,9
"39035183501",2714,9
"39035183502",3660,9
"39035183603",1606,9
"39035183604",2487,9
"39035183605",2780,9
"39035183606",1603,9
"39035184103",4065,9
"39035184104",1828,1
"39035184105",4711,1
"39035184106",2290,1
"39035184108",7433,10
"39035185101",2829,9
"39035185102",2696,9
"39035185103",2317,9
"39035185104",3901,9
"39035185201",1511,9
"39035185202",5159,9
"39035185203",3882,9
"39035186103",4365,2
"39035186104",2698,2
"39035186105",3529,2
"39035186106",4461,2
"39035186107",6148,2
"39035186201",5703,2
"39035186202",4635,2
"39035186203",3840,2
"39035186205",5138,2
"39035186206",4233,2
"39035187103",2844,9
"39035187104",3321,9
"39035187105",2176,9
"39035187106",5198,9
"39035188103",3270,9
"39035188104",1897,9
"39035188105",3237,9
"39035188106",2466,1
"39035188107",2561,1
"39035189105",4069,12
"39035189107",5059,12
"39035189108",5114,12
"39035189109",3437,12
"39035189110",4321,12
"39035189111",6812,12
"39035189112",3917,12
"39035190502",2362,12
"39035190503",1761,12
"39035190504",10439,12
"39035192300",1543,12
"39035192800",1197,9
"39035192900",2034,9
"39035193800",1027,1
"39035193900",1241,9
"39035194100",2281,2
"39035194300",3460,9
"39035194500",2270,9
"39035194800",884,9
"39035194900",3323,9
"39035195600",4787,1
"39035195700",4590,1
"39035195800",3885,10
"39035195900",4233,9
"39035196000",1681,9
"39035196100",2805,9
"39035196200",3278,9
"39035196300",3909,9
"39035196400",2726,12
"39035196500",1671,12
"39035980100",1,12
"39035980500",0,12
"39035981100",0,12
"39035990000",0,9
"39037500100",4102,16
"39037510100",4201,16
"39037520100",3417,16
"39037530100",4489,16
"39037540100",3441,16
"39037550100",3391,16
"39037555000",6486,16
"39037555101",3621,16
"39037555102",3903,16
"39037560100",7191,16
"39037570101",2922,16
"39037570102",5795,14
"39039958100",4572,15
"39039958200",4568,15
"39039958300",4381,15
"39039958400",4136,15
"39039958500",4369,15
"39039958600",3699,15
"39039958700",4538,15
"39039958800",3665,15
"39039958900",5109,15
"39041010100",5256,16
"39041010200",5480,16
"39041010420",2926,16
"39041010421",2182,16
"39041010422",5702,16
"39041010520",5215,16
"39041010530",3217,16
"39041011101",2897,16
"39041011102",4917,3
"39041011200",3276,16
"39041011411",2901,13
"39041011412",4517,13
"39041011413",6575,13
"39041011421",6785,3
"39041011423",6343,3
"39041011430",2807,13
"39041011520",3568,3
"39041011530",3612,3
"39041011540",5547,3
"39041011550",8256,3
"39041011560",8056,3
"39041011561",4513,3
"39041011604",5189,3
"39041011710",6370,3
"39041011730",6999,3
"39041011740",5143,3
"39041011750",6184,3
"39041011760",4240,3
"39041011762",5209,3
"39041011900",5002,13
"39041012000",5129,16
"39041012100",6408,3
"39041012200",4507,3
"39041012300",4471,3
"39041012400",4815,3
"39043040100",5652,11
"39043040200",4035,11
"39043040300",6170,11
"39043040400",5621,11
"39043040500",4805,11
"39043040600",1059,11
"39043040700",3831,11
"39043040800",4398,11
"39043040900",3299,11
"39043041000",3093,11
"39043041100",4109,11
"39043041200",2708,11
"39043041300",3527,11
"39043041400",2829,11
"39043041500",3473,11
"39043041600",5622,11
"39043041700",6612,11
"39043041800",6236,11
"39043990100",0,11
"39045030100",3851,5
"39045030200",2990,5
"39045030300",3355,5
"39045030400",4561,6
"39045030600",9179,6
"39045030700",3030,6
"39045030800",5436,6
"39045030900",8357,5
"39045031000",5492,5
"39045031100",6088,5
"39045031200",4939,5
"39045031300",3065,5
"39045031400",6771,5
"39045031500",2523,5
"39045031600",6138,5
"39045031700",4085,5
"39045032000",3078,5
"39045032100",3407,5
"39045032200",3772,5
"39045032300",3953,5
"39045032500",6264,5
"39045032600",6763,6
"39045032701",4247,6
"39045032702",7340,6
"39045032800",4291,6
"39045032900",10344,6
"39045033000",4137,6
"39045033100",8700,6
"39047925800",3976,6
