"Geography","Population","district"
"39035180102",3925,6
"39035180103",3611,5
"39035180104",3010,6
"39035181100",6814,5
"39035181201",5370,5
"39035181203",3089,5
"39035181204",4940,5
"39035182103",2533,1
"39035182104",2626,1
"39035182105",3418,1
"39035182106",3227,1
"39035183100",3008,7
"39035183200",2478,7
"39035183300",4464,7
"39035183401",2162,7
"39035183402",1486,7
"39035183501",2714,7
"39035183502",3660,7
"39035183603",1606,7
"39035183604",2487,7
"39035183605",2780,7
"39035183606",1603,7
"39035184103",4065,7
"39035184104",1828,7
"39035184105",4711,7
"39035184106",2290,7
"39035184108",7433,7
"39035185101",2829,5
"39035185102",2696,5
"39035185103",2317,5
"39035185104",3901,5
"39035185201",1511,7
"39035185202",5159,7
"39035185203",3882,7
"39035186103",4365,1
"39035186104",2698,1
"39035186105",3529,1
"39035186106",4461,1
"39035186107",6148,1
"39035186201",5703,1
"39035186202",4635,1
"39035186203",3840,1
"39035186205",5138,1
"39035186206",4233,1
"39035187103",2844,7
"39035187104",3321,7
"39035187105",2176,7
"39035187106",5198,7
"39035188103",3270,7
"39035188104",1897,7
"39035188105",3237,7
"39035188106",2466,7
"39035188107",2561,7
"39035189105",4069,5
"39035189107",5059,3
"39035189108",5114,3
"39035189109",3437,3
"39035189110",4321,5
"39035189111",6812,3
"39035189112",3917,3
"39035190502",2362,1
"39035190503",1761,3
"39035190504",10439,3
"39035192300",1543,1
"39035192800",1197,5
"39035192900",2034,1
"39035193800",1027,7
"39035193900",1241,7
"39035194100",2281,7
"39035194300",3460,6
"39035194500",2270,7
"39035194800",884,7
"39035194900",3323,7
"39035195600",4787,7
"39035195700",4590,7
"39035195800",3885,7
"39035195900",4233,7
"39035196000",1681,5
"39035196100",2805,1
"39035196200",3278,5
"39035196300",3909,7
"39035196400",2726,1
"39035196500",1671,5
"39035980100",1,5
"39035980500",0,1
"39035981100",0,1
"39035990000",0,5
"39037500100",4102,10
"39037510100",4201,9
"39037520100",3417,9
"39037530100",4489,9
"39037540100",3441,9
"39037550100",3391,12
"39037555000",6486,12
"39037555101",3621,12
"39037555102",3903,12
"39037560100",7191,12
"39037570101",2922,12
"39037570102",5795,12
"39039958100",4572,10
"39039958200",4568,10
"39039958300",4381,10
"39039958400",4136,10
"39039958500",4369,10
"39039958600",3699,10
"39039958700",4538,10
"39039958800",3665,10
"39039958900",5109,10
"39041010100",5256,2
"39041010200",5480,2
"39041010420",2926,2
"39041010421",2182,16
"39041010422",5702,2
"39041010520",5215,16
"39041010530",3217,2
"39041011101",2897,2
"39041011102",4917,2
"39041011200",3276,16
"39041011411",2901,16
"39041011412",4517,16
"39041011413",6575,16
"39041011421",6785,16
"39041011423",6343,16
"39041011430",2807,16
"39041011520",3568,16
"39041011530",3612,16
"39041011540",5547,16
"39041011550",8256,16
"39041011560",8056,16
"39041011561",4513,16
"39041011604",5189,2
"39041011710",6370,16
"39041011730",6999,16
"39041011740",5143,16
"39041011750",6184,16
"39041011760",4240,2
"39041011762",5209,16
"39041011900",5002,16
"39041012000",5129,16
"39041012100",6408,16
"39041012200",4507,16
"39041012300",4471,2
"39041012400",4815,16
"39043040100",5652,4
"39043040200",4035,3
"39043040300",6170,3
"39043040400",5621,4
"39043040500",4805,4
"39043040600",1059,4
"39043040700",3831,4
"39043040800",4398,4
"39043040900",3299,4
"39043041000",3093,4
"39043041100",4109,4
"39043041200",2708,4
"39043041300",3527,4
"39043041400",2829,3
"39043041500",3473,4
"39043041600",5622,3
"39043041700",6612,4
"39043041800",6236,3
"39043990100",0,4
"39045030100",3851,14
"39045030200",2990,14
"39045030300",3355,14
"39045030400",4561,14
"39045030600",9179,14
"39045030700",3030,14
"39045030800",5436,14
"39045030900",8357,14
"39045031000",5492,14
"39045031100",6088,14
"39045031200",4939,14
"39045031300",3065,14
"39045031400",6771,14
"39045031500",2523,14
"39045031600",6138,14
"39045031700",4085,14
"39045032000",3078,14
"39045032100",3407,14
"39045032200",3772,14
"39045032300",3953,14
"39045032500",6264,14
"39045032600",6763,14
"39045032701",4247,14
"39045032702",7340,14
"39045032800",4291,14
"39045032900",10344,14
"39045033000",4137,14
"39045033100",8700,14
"39047925800",3976,14
"39047925900",3557,14
"39047926000",4171,14
"39047926100",4772,14
"39047926200",4692,14
"39047926300",3538,14
"39047926400",4324,14
"39049000110",3344,16
"39049000120",3162,16
"39049000210",2935,16
"39049000220",3727,16
"39049000310",3147,16
"39049000320",2390,15
"39049000330",2314,16
"39049000410",2419,16
"39049000420",3139,16
"39049000500",4057,16
"39049000600",3780,16
"39049000710",3102,16
"39049000720",2384,15
"39049000730",3090,15
"39049000810",2540,16
"39049000820",3121,15
"39049000910",3409,16
"39049000920",2069,15
"39049001000",5830,16
"39049001110",3688,16
"39049001121",7300,16
"39049001122",3159,15
"39049001200",4822,16
"39049001300",6583,15
"39049001400",1543,15
"39049001500",2031,15
"39049001600",1682,15
"39049001700",2704,15
"39049001810",4434,16
"39049001820",2598,15
"39049001901",2031,15
"39049001902",3410,15
"39049002000",3252,15
"39049002100",1808,15
"39049002200",1851,15
"39049002300",1453,15
"39049002510",2856,15
"39049002520",2648,15
"39049002600",4028,15
"39049002710",1858,15
"39049002730",2104,15
"39049002740",2316,15
"39049002750",2349,15
"39049002760",3066,15
"39049002770",1995,15
"39049002780",2423,15
"39049002800",2629,15
"39049002900",2368,15
"39049003000",3105,15
"39049003200",2147,15
"39049003600",1442,15
"39049003700",3303,15
"39049003800",1896,15
"39049004000",2941,15
"39049004200",1370,15
"39049004300",5613,15
"39049004500",5154,15
"39049004610",3368,15
"39049004620",2659,15
"39049004700",4971,15
"39049004810",2891,15
"39049004820",2589,15
"39049004900",5651,15
"39049005000",5205,15
"39049005100",1928,15
"39049005200",2584,15
"39049005300",3054,15
"39049005410",1362,15
"39049005420",2151,15
"39049005500",4228,15
"39049005610",1784,15
"39049005620",2542,15
"39049005700",3629,15
"39049005810",2548,15
"39049005820",2230,15
"39049005900",2546,15
"39049006000",2345,15
"39049006100",2398,15
"39049006220",6527,16
"39049006230",13127,16
"39049006236",5979,16
"39049006310",4439,16
"39049006321",4086,16
"39049006323",3318,16
"39049006330",4716,16
"39049006340",3105,16
"39049006351",3789,16
"39049006352",2985,16
"39049006353",4462,16
"39049006371",6472,16
"39049006372",5738,16
"39049006383",8813,16
"39049006384",6194,16
"39049006386",3702,16
"39049006387",5527,16
"39049006391",4770,16
"39049006392",4386,16
"39049006393",5239,16
"39049006394",2750,16
"39049006395",3673,16
"39049006396",4289,16
"39049006410",2666,16
"39049006430",4459,16
"39049006500",3646,15
"39049006600",3903,15
"39049006710",2666,16
"39049006721",3390,16
"39049006722",2828,16
"39049006810",2140,16
"39049006821",3327,16
"39049006822",1876,16
"39049006910",1530,16
"39049006921",3431,16
"39049006923",3281,16
"39049006924",3677,16
"39049006931",6249,16
"39049006932",5996,16
"39049006933",5257,16
"39049006942",1167,16
"39049006943",4489,16
"39049006944",4112,16
"39049006945",5353,16
"39049006950",2744,16
"39049006990",6376,16
"39049007010",3802,16
"39049007020",6372,16
"39049007041",2062,16
"39049007043",4047,16
"39049007044",5614,16
"39049007047",3727,16
"39049007048",5672,16
"39049007112",5431,15
"39049007113",4918,15
"39049007114",4823,16
"39049007115",5380,16
"39049007120",5117,16
"39049007132",7422,15
"39049007193",6316,16
"39049007194",6417,16
"39049007198",2812,16
"39049007199",5271,15
"39049007201",613,16
"39049007202",2915,15
"39049007203",3233,2
"39049007205",3710,2
"39049007207",4173,16
"39049007209",5706,16
"39049007210",8200,15
"39049007393",8742,15
"39049007394",2806,15
"39049007395",11281,15
"39049007396",9839,15
"39049007424",5470,15
"39049007425",2867,15
"39049007426",2823,15
"39049007427",6030,15
"39049007492",5738,15
"39049007494",4341,15
"39049007511",1851,15
"39049007512",4053,15
"39049007520",3321,15
"39049007531",2496,15
"39049007532",2080,15
"39049007533",1569,15
"39049007534",3671,15
"39049007550",2871,15
"39049007551",8138,15
"39049007710",4236,15
"39049007721",5155,16
"39049007722",3210,16
"39049007730",2925,16
"39049007740",1653,16
"39049007811",3461,16
"39049007812",4094,16
"39049007820",4095,16
"39049007830",2719,15
"39049007921",7719,16
"39049007922",4101,16
"39049007931",4175,16
"39049007933",7626,16
"39049007941",2588,15
"39049007951",8386,16
"39049007952",7428,16
"39049007953",6569,16
"39049007954",7659,16
"39049008000",5410,16
"39049008110",3973,15
"39049008120",3789,15
"39049008132",6619,15
"39049008141",7575,15
"39049008142",6806,15
"39049008161",7166,15
"39049008162",9125,15
"39049008163",3518,15
"39049008164",4008,15
"39049008210",2210,15
"39049008230",1745,15
"39049008241",2772,15
"39049008242",6425,15
"39049008311",4857,15
"39049008312",4805,15
"39049008321",2299,15
"39049008322",4536,15
"39049008330",1744,15
"39049008340",5988,15
"39049008350",6684,15
"39049008360",6366,15
"39049008370",7384,15
"39049008380",5417,15
"39049008400",2962,15
"39049008500",4280,15
"39049008710",2691,15
"39049008720",3459,15
"39049008730",1761,15
"39049008811",1873,15
"39049008812",3034,15
"39049008813",2326,15
"39049008821",2695,15
"39049008822",4016,15
"39049008825",6296,15
"39049008900",5063,15
"39049009000",3257,15
"39049009100",4737,15
"39049009210",4713,15
"39049009220",2372,15
"39049009230",4429,15
"39049009240",1919,15
"39049009250",1889,15
"39049009311",2879,15
"39049009312",2996,15
"39049009321",2164,15
"39049009322",3205,14
"39049009323",3232,15
"39049009325",4598,15
"39049009326",1747,15
"39049009331",803,15
"39049009332",3100,15
"39049009333",2059,15
"39049009334",2810,15
"39049009336",2738,15
"39049009337",3857,15
"39049009340",2816,15
"39049009350",2700,15
"39049009361",4770,15
"39049009362",6436,15
"39049009371",5528,15
